Day,Equity
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,102548.4793701172
10,102548.4793701172
11,102548.4793701172
12,102548.4793701172
13,102548.4793701172
14,103173.39428710939
15,103173.39428710939
16,103173.39428710939
17,103173.39428710939
18,103173.39428710939
19,104788.38153076173
20,104788.38153076173
21,104788.38153076173
22,104788.38153076173
23,104788.38153076173
24,107028.25933837892
25,107028.25933837892
26,107028.25933837892
27,107028.25933837892
28,107028.25933837892
29,106372.50537109376
30,106372.50537109376
31,106372.50537109376
32,106372.50537109376
33,106372.50537109376
34,102746.5100708008
35,102746.5100708008
36,102746.5100708008
37,102746.5100708008
38,102746.5100708008
39,101769.27990722658
40,101769.27990722658
41,101769.27990722658
42,101769.27990722658
43,101769.27990722658
44,102844.2225341797
45,102844.2225341797
46,102844.2225341797
47,102844.2225341797
48,102844.2225341797
49,100365.18176269533
50,100365.18176269533
51,100365.18176269533
52,100365.18176269533
53,100365.18176269533
54,101477.77416992189
55,101477.77416992189
56,101477.77416992189
57,101477.77416992189
58,101477.77416992189
59,103863.03143310548
60,103863.03143310548
61,103863.03143310548
62,103863.03143310548
63,103863.03143310548
64,105476.45196533205
65,105476.45196533205
66,105476.45196533205
67,105476.45196533205
68,105476.45196533205
69,106991.75415039065
70,106991.75415039065
71,106991.75415039065
72,106991.75415039065
73,106991.75415039065
74,106581.31634521486
75,106581.31634521486
76,106581.31634521486
77,106581.31634521486
78,106581.31634521486
79,106718.12353515626
80,106718.12353515626
81,106718.12353515626
82,106718.12353515626
83,106718.12353515626
84,104838.82476806642
85,104838.82476806642
86,104838.82476806642
87,104838.82476806642
88,104838.82476806642
89,106645.84375
90,106645.84375
91,106645.84375
92,106645.84375
93,106645.84375
94,108478.6688232422
95,108478.6688232422
96,108478.6688232422
97,108478.6688232422
98,108478.6688232422
99,107296.35369873048
100,107296.35369873048
101,107296.35369873048
102,107296.35369873048
103,107296.35369873048
104,110721.94793701173
105,110721.94793701173
106,110721.94793701173
107,110721.94793701173
108,110721.94793701173
109,111233.06115722658
110,111233.06115722658
111,111233.06115722658
112,111233.06115722658
113,111233.06115722658
114,114122.32867431642
115,114122.32867431642
116,114122.32867431642
117,114122.32867431642
118,114122.32867431642
119,112044.32543945315
120,112044.32543945315
121,112044.32543945315
122,112044.32543945315
123,112044.32543945315
124,115244.25640869142
125,115244.25640869142
126,115244.25640869142
127,115244.25640869142
128,115244.25640869142
129,114899.6448364258
130,114899.6448364258
131,114899.6448364258
132,114899.6448364258
133,114899.6448364258
134,117938.92700195315
135,117938.92700195315
136,117938.92700195315
137,117938.92700195315
138,117938.92700195315
139,118262.81414794923
140,118262.81414794923
141,118262.81414794923
142,118262.81414794923
143,118262.81414794923
144,118532.27227783205
145,118532.27227783205
146,118532.27227783205
147,118532.27227783205
148,118532.27227783205
149,116529.39813232423
150,116529.39813232423
151,116529.39813232423
152,116529.39813232423
153,116529.39813232423
154,115011.05993652345
155,115011.05993652345
156,115011.05993652345
157,115011.05993652345
158,115011.05993652345
159,113782.904296875
160,113782.904296875
161,113782.904296875
162,113782.904296875
163,113782.904296875
164,116635.63415527345
165,116635.63415527345
166,116635.63415527345
167,116635.63415527345
168,116635.63415527345
169,115873.87145996095
170,115873.87145996095
171,115873.87145996095
172,115873.87145996095
173,115873.87145996095
174,115949.0086669922
175,115949.0086669922
176,115949.0086669922
177,115949.0086669922
178,115949.0086669922
179,114310.76428222658
180,114310.76428222658
181,114310.76428222658
182,114310.76428222658
183,114310.76428222658
184,111037.13293457033
185,111037.13293457033
186,111037.13293457033
187,111037.13293457033
188,111037.13293457033
189,110675.7177734375
190,110675.7177734375
191,110675.7177734375
192,110675.7177734375
193,110675.7177734375
194,113707.51544189455
195,113707.51544189455
196,113707.51544189455
197,113707.51544189455
198,113707.51544189455
199,112118.81323242189
200,112118.81323242189
201,112118.81323242189
202,112118.81323242189
203,112118.81323242189
204,108826.99017333986
205,108826.99017333986
206,108826.99017333986
207,108826.99017333986
208,108826.99017333986
209,110155.68322753908
210,110155.68322753908
211,110155.68322753908
212,110155.68322753908
213,110155.68322753908
214,113949.34100341798
215,113949.34100341798
216,113949.34100341798
217,113949.34100341798
218,113949.34100341798
219,117181.35302734376
220,117181.35302734376
221,117181.35302734376
222,117181.35302734376
223,117181.35302734376
224,118569.84899902345
225,118569.84899902345
226,118569.84899902345
227,118569.84899902345
228,118569.84899902345
229,118928.66650390626
230,118928.66650390626
231,118928.66650390626
232,118928.66650390626
233,118928.66650390626
234,119404.50842285158
235,119404.50842285158
236,119404.50842285158
237,119404.50842285158
238,119404.50842285158
239,122987.54498291017
240,122987.54498291017
241,122987.54498291017
242,122987.54498291017
243,122987.54498291017
244,123665.2978515625
245,123665.2978515625
246,123665.2978515625
247,123665.2978515625
248,123665.2978515625
249,124346.68743896486
