buy_every_n,Sharpe Ratio,Max Drawdown,Total Return,Score
5,1.78388872038345,0.08187881593751639,0.24346687438964865,0.6042837176989673
1,1.8998018604406135,0.09955677598420597,0.26648799224853525,0.5853610464235446
4,1.7912380723981463,0.0888300804823672,0.24603400817871113,0.5744856378765928
7,1.6653985142641234,0.0734223712707254,0.21287613372802716,0.5720254676424483
2,1.8383507887156545,0.09548637857642285,0.2568753799438477,0.5701811914476369
10,1.5947906282496924,0.06869167663537372,0.21306519165039073,0.560469526773173
6,1.5993544936713537,0.07328718209441122,0.23039269042968757,0.5484376815784646
3,1.7670157186950592,0.09954886808040875,0.27494187988281227,0.523234458886892
8,1.515034421915624,0.08881208377898854,0.2181633117675783,0.42253844794665846
9,1.4236322697412458,0.09955588145792489,0.20922296325683587,0.3186482092094164
